building_names,latitude,longitude,building_type
Adams Tower,43.13905857,-70.93067282,Student Residence
Alexander,43.13357812,-70.92760239,Student Residence
Babcock,43.13237103,-70.93269333,Student Residence
Barton,43.14182726,-70.93889364,Academic
Christensen,43.13111467,-70.93450804,Student Residence
Cole,43.14206265,-70.93923224,Academic
Conant,43.13584389,-70.93393871,Academic
Congreve,43.13764991,-70.93230993,Student Residence
Dairy Bar,43.13935301,-70.93613333,Dining
Devine,43.13332082,-70.93024652,Student Residence
Dimond Library,43.13548129,-70.93322289,Academic
Eaton House,43.13139596,-70.93666899,Student Residence
Elliot Alumni,43.13989964,-70.93231908,Administration
Engelhardt,43.133124,-70.929407,Student Residence
Fairchild,43.13449628,-70.92788985,Student Residence
Field House,43.13867277,-70.93770622,Recreation/ Health
Gables North,43.14479118,-70.9359848,Student Residence
Gables South,43.14351581,-70.9368376,Student Residence
Gables Building C,43.14428971,-70.93753624,Student Residence
Gables Building B,43.14433768,-70.936645,Student Residence
Gables Building A,43.14394598,-70.93630068,Student Residence
Gibbs,43.13235396,-70.93010745,Student Residence
Greenhouse,43.14050883,-70.93917083,Academic
Gregg,43.13494323,-70.93856306,Academic
Haaland,43.13223315,-70.93734866,Student Residence
Hall House,43.13097736,-70.93658371,Student Residence
Hamel Recreation,43.1392166,-70.93352695,Recreation/ Health
Hamilton-Smith,43.137168,-70.930699,Academic
Handler,43.13365476,-70.93653496,Student Residence
Health Service Center,43.13610035,-70.92857317,Recreation/ Health
Hetzel,43.13414009,-70.92713401,Student Residence
Hewitt,43.13624521,-70.93476383,Academic
Hitchcock,43.1329019,-70.93065756,Student Residence
Holloway Commons,43.13508581,-70.92935006,Dining
Hood House,43.13521397,-70.93084169,Administration
Horton,43.13366155,-70.93204472,Academic
Hubbard,43.13167721,-70.93339916,Student Residence
Huddleston,43.13482168,-70.92862165,Dining
Hunter,43.13262765,-70.92947207,Student Residence
James,43.13677871,-70.9347193,Academic
Jessie Doe,43.13851663,-70.93091383,Student Residence
Kendall,43.13744859,-70.9357321,Academic
Kingsbury,43.13413037,-70.93492065,Academic
Lord,43.13892229,-70.93160552,Student Residence
Marston House,43.1308372,-70.93701626,Student Residence
McConnell,43.1327985,-70.93211973,Academic
McLaughlin,43.13834517,-70.93217005,Student Residence
Memorial Union,43.13444103,-70.92984558,Other
Mills,43.13404637,-70.92836638,Student Residence
Morrill,43.13732898,-70.93439748,Academic
Morse,43.134828,-70.935806,Academic
Murkland,43.13613831,-70.93311655,Academic
Nesmith,43.13793353,-70.93570496,Academic
New England,43.13904235,-70.92892679,Administration
New Hampshire,43.13821629,-70.93380312,Academic
NHPTV studio,43.14019801,-70.94827796,Other
Parsons,43.13358485,-70.93405261,Academic
Paul,43.13679778,-70.92872252,Academic
Peterson,43.13289846,-70.93705378,Student Residence
Paul Creative Arts,43.13455053,-70.93330314,Academic
Pettee,43.13702195,-70.93544233,Academic
Philbrook,43.13215463,-70.93477556,Dining
Presidents House,43.13602144,-70.92953821,Other
Putnam,43.14118618,-70.93952414,Academic
Randall,43.13330929,-70.93090577,Student Residence
Richardson,43.13141534,-70.9376379,Student Residence
Ritzman,43.13623082,-70.93869872,Academic
Rudman,43.13560525,-70.93531762,Academic
Sawyer,43.13709431,-70.92978545,Student Residence
Scott,43.13762901,-70.93124155,Student Residence
Service Building,43.13630171,-70.93608612,Administration
Smith Equine,43.14279599,-70.94116914,Academic
Smith,43.13714983,-70.93070019,Administration
Spaulding,43.13518733,-70.93450337,Academic
Stillings,43.1379576,-70.92993765,Dining
Stoke,43.13736995,-70.9290226,Student Residence
Taylor,43.13741176,-70.93512341,Academic
Thompson,43.13594034,-70.93244543,Administration
Whittemore,43.13969823,-70.93438872,Recreation/ Health
Williamson,43.13133935,-70.93568214,Student Residence
Zais,43.13560852,-70.93636391,Other
