MAC_Address,Time,Building
0000A3,2015-09-20 00:00:00,Hetzel
0017A6,2015-09-20 00:00:02,Stoke
000AE9,2015-09-20 00:00:03,Mills
0000AE,2015-09-20 00:00:03,Alexander
0004EC,2015-09-20 00:00:04,Stoke
00071B,2015-09-20 00:00:05,Adams Tower
0009F0,2015-09-20 00:00:07,Hetzel
000672,2015-09-20 00:00:07,Lord
0000AE,2015-09-20 00:00:11,Mills
00083C,2015-09-20 00:00:11,Congreve
003FA5,2015-09-20 00:00:11,Alexander
000022,2015-09-20 00:00:14,Peterson
001C01,2015-09-20 00:00:14,Gables Building C
003C3E,2015-09-20 00:00:16,Christensen
0017A6,2015-09-20 00:00:16,Sawyer
0003B9,2015-09-20 00:00:19,Devine
000E54,2015-09-20 00:00:19,Gables North
0000AE,2015-09-20 00:00:20,Alexander
000537,2015-09-20 00:00:20,Sawyer
003955,2015-09-20 00:00:20,Congreve
00213E,2015-09-20 00:00:21,Stoke
00049D,2015-09-20 00:00:21,Stoke
0001B5,2015-09-20 00:00:22,Eaton House
002385,2015-09-20 00:00:23,Hetzel
000051,2015-09-20 00:00:25,Fairchild
000203,2015-09-20 00:00:26,Lord
00004A,2015-09-20 00:00:26,Randall
00088F,2015-09-20 00:00:27,Congreve
0005C5,2015-09-20 00:00:27,Randall
005738,2015-09-20 00:00:28,Gables Building A
0000A4,2015-09-20 00:00:29,Gables South
000E7F,2015-09-20 00:00:29,Hetzel
00280F,2015-09-20 00:00:30,Stoke
00005F,2015-09-20 00:00:33,Randall
001009,2015-09-20 00:00:35,Haaland
000B11,2015-09-20 00:00:35,Devine
0028EC,2015-09-20 00:00:36,Handler
00042C,2015-09-20 00:00:36,Babcock
000013,2015-09-20 00:00:37,Devine
003C85,2015-09-20 00:00:37,McLaughlin
00036C,2015-09-20 00:00:41,Jessie Doe
001756,2015-09-20 00:00:41,Gables South
0001F8,2015-09-20 00:00:42,Congreve
000555,2015-09-20 00:00:43,Hetzel
002385,2015-09-20 00:00:43,Alexander
000E2C,2015-09-20 00:00:44,Haaland
000129,2015-09-20 00:00:45,Engelhardt
000C8A,2015-09-20 00:00:47,Alexander
0009B4,2015-09-20 00:00:47,Alexander
000017,2015-09-20 00:00:49,Stoke
002133,2015-09-20 00:00:55,Hubbard
0001B5,2015-09-20 00:00:56,Richardson
0000AE,2015-09-20 00:00:57,Mills
000B47,2015-09-20 00:00:59,Peterson
000927,2015-09-20 00:01:02,Gables South
003F82,2015-09-20 00:01:05,Hetzel
000B11,2015-09-20 00:01:06,Randall
000CEF,2015-09-20 00:01:06,Mills
000479,2015-09-20 00:01:07,Stoke
00198F,2015-09-20 00:01:09,Woodside
000F34,2015-09-20 00:01:09,Lord
000392,2015-09-20 00:01:09,Gibbs
003D62,2015-09-20 00:01:12,Mills
003FA8,2015-09-20 00:01:12,Engelhardt
000176,2015-09-20 00:01:12,Sawyer
000479,2015-09-20 00:01:13,Sawyer
00003E,2015-09-20 00:01:13,Peterson
0001E9,2015-09-20 00:01:14,Sawyer
000041,2015-09-20 00:01:15,Stoke
001201,2015-09-20 00:01:16,Williamson
000474,2015-09-20 00:01:17,Adams Tower
003920,2015-09-20 00:01:18,Babcock
0008BD,2015-09-20 00:01:18,Jessie Doe
0012FB,2015-09-20 00:01:19,Gables Building A
000051,2015-09-20 00:01:21,Alexander
000B11,2015-09-20 00:01:21,Devine
000046,2015-09-20 00:01:23,Hunter
0002EB,2015-09-20 00:01:25,Scott
00185E,2015-09-20 00:01:25,Adams Tower
000089,2015-09-20 00:01:26,Stoke
000046,2015-09-20 00:01:27,Gibbs
000359,2015-09-20 00:01:28,Peterson
00166D,2015-09-20 00:01:29,Gibbs
000B31,2015-09-20 00:01:33,Williamson
001B82,2015-09-20 00:01:33,Scott
00028A,2015-09-20 00:01:34,Hubbard
0001FF,2015-09-20 00:01:35,Jessie Doe
000129,2015-09-20 00:01:35,Gibbs
000668,2015-09-20 00:01:36,Handler
0018A8,2015-09-20 00:01:36,Gables Building A
000B11,2015-09-20 00:01:36,Randall
000088,2015-09-20 00:01:36,Scott
0010AB,2015-09-20 00:01:36,Congreve
001754,2015-09-20 00:01:37,Stoke
000B93,2015-09-20 00:01:37,Williamson
00166D,2015-09-20 00:01:37,Engelhardt
001499,2015-09-20 00:01:37,Williamson
000B11,2015-09-20 00:01:37,Devine
0006EE,2015-09-20 00:01:38,Eaton House
003C88,2015-09-20 00:01:42,Peterson
001C68,2015-09-20 00:01:42,Christensen
00067D,2015-09-20 00:01:45,Gables South
